Date,Close
2022-01-03,1.0900
2022-01-04,1.0906
2022-01-05,1.0895
2022-01-06,1.0888
2022-01-07,1.0903
2022-01-10,1.0891
2022-01-11,1.0885
2022-01-12,1.0899
2022-01-13,1.0908
2022-01-14,1.0921
2022-01-17,1.0927
2022-01-18,1.0915
2022-01-19,1.0909
2022-01-20,1.0925
2022-01-21,1.0934
2022-01-24,1.0941
2022-01-25,1.0933
2022-01-26,1.0945
2022-01-27,1.0960
2022-01-28,1.0955
2022-01-31,1.0969
2022-02-01,1.0982
2022-02-02,1.0975
2022-02-03,1.0988
2022-02-04,1.1001
2022-02-07,1.1015
2022-02-08,1.1008
2022-02-09,1.1020
2022-02-10,1.1033
2022-02-11,1.1041
2022-02-14,1.1035
2022-02-15,1.1049
2022-02-16,1.1058
2022-02-17,1.1045
2022-02-18,1.1056
2022-02-21,1.1064
2022-02-22,1.1077
2022-02-23,1.1068
2022-02-24,1.1080
2022-02-25,1.1092
2022-02-28,1.1105
2022-03-01,1.1118
2022-03-02,1.1109
2022-03-03,1.1121
2022-03-04,1.1134
2022-03-07,1.1147
2022-03-08,1.1139
2022-03-09,1.1151
2022-03-10,1.1164
2022-03-11,1.1172
2022-03-14,1.1166
2022-03-15,1.1180
2022-03-16,1.1189
2022-03-17,1.1176
2022-03-18,1.1187
2022-03-21,1.1195
2022-03-22,1.1208
2022-03-23,1.1199
2022-03-24,1.1211
2022-03-25,1.1224
2022-03-28,1.1237
2022-03-29,1.1229
2022-03-30,1.1241
2022-03-31,1.1254
2022-04-01,1.1267
2022-04-04,1.1259
2022-04-05,1.1272
2022-04-06,1.1281
2022-04-07,1.1268
2022-04-08,1.1279
2022-04-11,1.1287
2022-04-12,1.1300
2022-04-13,1.1291
2022-04-14,1.1303
2022-04-15,1.1316
2022-04-18,1.1329
2022-04-19,1.1321
2022-04-20,1.1333
2022-04-21,1.1346
2022-04-22,1.1359
2022-04-25,1.1351
2022-04-26,1.1364
2022-04-27,1.1373
2022-04-28,1.1360
2022-04-29,1.1371
2022-05-02,1.1379
2022-05-03,1.1392
